YEAR,APPRAISED IMPROVEMENTS,APPRAISED LAND,APPRAISED TOTAL,ASSESSED IMPROVEMENTS,ASSESSED LAND, ASSESSED TOTAL,ADDRESS,URL,SALE DATE,SALE PRICE,MODEL,STYLE,LIVING AREA,LAND AREA(SF),NBHD,STORIES,ROOMS,BEDROOMS,BATHS,HALF BATHS
2017,$173800,$314700,$488500,$173800,$314700,$488500,1763 MAIN ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3545,06/22/2012,$405000.00,Residential,Ranch,1394,20019,30,1 Story,6,3 Bedrooms,1,1
2016,$146800,$314700,$461500,$146800,$314700,$461500,1763 MAIN ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3545,06/22/2012,$405000.00,Residential,Ranch,1394,20019,30,1 Story,6,3 Bedrooms,1,1
2018,$226800,$303500,$530300,$226800,$303500,$530300,1781 MAIN ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3549,10/02/2014,$523000.00,Residential,Cape Cod,1862,13049,30,1.75,6,2 Bedrooms,2,
2017,$226800,$281800,$508600,$226800,$281800,$508600,1781 MAIN ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3549,10/02/2014,$523000.00,Residential,Cape Cod,1862,13049,30,1.75,6,2 Bedrooms,2,
2016,$211900,$281800,$493700,$211900,$281800,$493700,1781 MAIN ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3549,10/02/2014,$523000.00,Residential,Cape Cod,1862,13049,30,1.75,6,2 Bedrooms,2,
2018,$216400,$269100,$485500,$216400,$269100,$485500,1797 MAIN ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3551,09/01/2016,$499900.00,Residential,Old Style,1197,4840,30,1 3/4 Stories,,2 Bedrooms,1,0
2017,$247500,$249800,$497300,$247500,$249800,$497300,1797 MAIN ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3551,09/01/2016,$499900.00,Residential,Old Style,1197,4840,30,1 3/4 Stories,,2 Bedrooms,1,0
2016,$213100,$249800,$462900,$213100,$249800,$462900,1797 MAIN ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3551,09/01/2016,$499900.00,Residential,Old Style,1197,4840,30,1 3/4 Stories,,2 Bedrooms,1,0
2018,$361400,$332800,$694200,$361400,$332800,$694200,67 HARRINGTON AVE,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3558,01/10/2011,$650000.00,Residential,Ranch,1572,18800,30,1 Story,8,3 Bedrooms,2,1
2017,$319900,$309000,$628900,$319900,$309000,$628900,67 HARRINGTON AVE,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3558,01/10/2011,$650000.00,Residential,Ranch,1572,18800,30,1 Story,8,3 Bedrooms,2,1
2016,$282500,$309000,$591500,$282500,$309000,$591500,67 HARRINGTON AVE,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3558,01/10/2011,$650000.00,Residential,Ranch,1572,18800,30,1 Story,8,3 Bedrooms,2,1
2018,$360100,$281100,$641200,$360100,$281100,$641200,1869 MAIN ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3574,06/14/2013,$622500.00,Residential,Old Style,1976,16534,29,1.75,8,4 Bedrooms,2,0
2017,$370000,$252400,$622400,$370000,$252400,$622400,1869 MAIN ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3574,06/14/2013,$622500.00,Residential,Old Style,1976,16534,29,1.75,8,4 Bedrooms,2,0
2016,$346200,$252400,$598600,$346200,$252400,$598600,1869 MAIN ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3574,06/14/2013,$622500.00,Residential,Old Style,1976,16534,29,1.75,8,4 Bedrooms,2,0
2018,$355400,$301200,$656600,$355400,$301200,$656600,50 HIGHLAND ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3593,07/01/2011,$594625.00,Residential,Old Style,1861,12614,30,2 Stories,8,4 Bedrooms,2,0
2017,$365000,$279700,$644700,$365000,$279700,$644700,50 HIGHLAND ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3593,07/01/2011,$594625.00,Residential,Old Style,1861,12614,30,2 Stories,8,4 Bedrooms,2,0
2016,$339700,$279700,$619400,$339700,$279700,$619400,50 HIGHLAND ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3593,07/01/2011,$594625.00,Residential,Old Style,1861,12614,30,2 Stories,8,4 Bedrooms,2,0
2018,$213100,$345000,$558100,$213100,$345000,$558100,91 RIVERSIDE AV,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3642,11/15/2012,$470000.00,Residential,Old Style,1248,6750,28,2 Stories,,3 Bedrooms,1,0
2017,$208600,$328600,$537200,$208600,$328600,$537200,91 RIVERSIDE AV,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3642,11/15/2012,$470000.00,Residential,Old Style,1248,6750,28,2 Stories,,3 Bedrooms,1,0
2016,$181100,$328600,$509700,$181100,$328600,$509700,91 RIVERSIDE AV,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3642,11/15/2012,$470000.00,Residential,Old Style,1248,6750,28,2 Stories,,3 Bedrooms,1,0
2018,$284200,$340200,$624400,$284200,$340200,$624400,6 SHIRLEY ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3654,06/25/2013,$552500.00,Residential,Old Style,1797,5700,28,2.75,,3 Bedrooms,2,0
2017,$288200,$324100,$612300,$288200,$324100,$612300,6 SHIRLEY ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3654,06/25/2013,$552500.00,Residential,Old Style,1797,5700,28,2.75,,3 Bedrooms,2,0
2016,$262500,$324100,$586600,$262500,$324100,$586600,6 SHIRLEY ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3654,06/25/2013,$552500.00,Residential,Old Style,1797,5700,28,2.75,,3 Bedrooms,2,0
2018,$309400,$357400,$666800,$309400,$357400,$666800,76 PRAIRIE ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3677,06/30/2016,$850000.00,Residential,Old Style,1618,9453,28,2 Stories,,3 Bedrooms,2,0
2017,$309800,$340400,$650200,$309800,$340400,$650200,76 PRAIRIE ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3677,06/30/2016,$850000.00,Residential,Old Style,1618,9453,28,2 Stories,,3 Bedrooms,2,0
2016,$277400,$340400,$617800,$277400,$340400,$617800,76 PRAIRIE ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3677,06/30/2016,$850000.00,Residential,Old Style,1618,9453,28,2 Stories,,3 Bedrooms,2,0
2018,$393400,$359400,$752800,$393400,$359400,$752800,51 WEST ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3686,05/21/2015,$749000.00,Residential,Old Style,1822,9898,28,2.5,8 Rooms,3 Bedrooms,1,1
2017,$368100,$342400,$710500,$368100,$342400,$710500,51 WEST ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3686,05/21/2015,$749000.00,Residential,Old Style,1822,9898,28,2.5,8 Rooms,3 Bedrooms,1,1
2016,$309600,$342400,$652000,$309600,$342400,$652000,51 WEST ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3686,05/21/2015,$749000.00,Residential,Old Style,1822,9898,28,2.5,8 Rooms,3 Bedrooms,1,1
2018,$293100,$355300,$648400,$293100,$355300,$648400,61 WEST ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3687,08/25/2017,$685000.00,Residential,Colonial,2000,9000,28,2 Stories,,4 Bedrooms,1,1
2017,$313900,$338400,$652300,$313900,$338400,$652300,61 WEST ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3687,08/25/2017,$685000.00,Residential,Colonial,2000,9000,28,2 Stories,,4 Bedrooms,1,1
2016,$305400,$338400,$643800,$305400,$338400,$643800,61 WEST ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3687,08/25/2017,$685000.00,Residential,Colonial,2000,9000,28,2 Stories,,4 Bedrooms,1,1
2018,$164300,$346700,$511000,$164300,$346700,$511000,34 DERBY ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3707,08/25/2014,$457600.00,Residential,Old Style,1011,7117,28,1.75,7,2 Bedrooms,1,0
2017,$166100,$330200,$496300,$166100,$330200,$496300,34 DERBY ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3707,08/25/2014,$457600.00,Residential,Old Style,1011,7117,28,1.75,7,2 Bedrooms,1,0
2016,$137500,$330200,$467700,$137500,$330200,$467700,34 DERBY ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3707,08/25/2014,$457600.00,Residential,Old Style,1011,7117,28,1.75,7,2 Bedrooms,1,0
2018,$290300,$350500,$640800,$290300,$350500,$640800,25 CENTRAL ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3709,07/15/2011,$445000.00,Residential,Old Style,1614,7940,28,2 Stories,6,3 Bedrooms,1,1
2017,$297100,$333800,$630900,$297100,$333800,$630900,25 CENTRAL ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3709,07/15/2011,$445000.00,Residential,Old Style,1614,7940,28,2 Stories,6,3 Bedrooms,1,1
2016,$268000,$333800,$601800,$268000,$333800,$601800,25 CENTRAL ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3709,07/15/2011,$445000.00,Residential,Old Style,1614,7940,28,2 Stories,6,3 Bedrooms,1,1
2018,$268300,$346200,$614500,$268300,$346200,$614500,107 CENTRAL ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3718,06/23/2015,$701000.00,Residential,Colonial,1715,7000,28,2 Stories,7,3 Bedrooms,1,1
2017,$268300,$329700,$598000,$268300,$329700,$598000,107 CENTRAL ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3718,06/23/2015,$701000.00,Residential,Colonial,1715,7000,28,2 Stories,7,3 Bedrooms,1,1
2016,$239300,$329700,$569000,$239300,$329700,$569000,107 CENTRAL ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3718,06/23/2015,$701000.00,Residential,Colonial,1715,7000,28,2 Stories,7,3 Bedrooms,1,1
2018,$236800,$350900,$587700,$236800,$350900,$587700,227 CENTRAL ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3729,11/03/2015,$591000.00,Residential,Old Style,1330,8030,28,2 Stories,,3 Bedrooms,1,1
2017,$240500,$334200,$574700,$240500,$334200,$574700,227 CENTRAL ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3729,11/03/2015,$591000.00,Residential,Old Style,1330,8030,28,2 Stories,,3 Bedrooms,1,1
2016,$211400,$334200,$545600,$211400,$334200,$545600,227 CENTRAL ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3729,11/03/2015,$591000.00,Residential,Old Style,1330,8030,28,2 Stories,,3 Bedrooms,1,1
2018,$236800,$346900,$583700,$236800,$346900,$583700,245 CENTRAL ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3732,08/18/2014,$640000.00,Residential,Old Style,1530,7165,28,2 Stories,,3 Bedrooms,1,1
2017,$244100,$330400,$574500,$244100,$330400,$574500,245 CENTRAL ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3732,08/18/2014,$640000.00,Residential,Old Style,1530,7165,28,2 Stories,,3 Bedrooms,1,1
2016,$219300,$330400,$549700,$219300,$330400,$549700,245 CENTRAL ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3732,08/18/2014,$640000.00,Residential,Old Style,1530,7165,28,2 Stories,,3 Bedrooms,1,1
2018,$381500,$349600,$731100,$381500,$349600,$731100,262 CENTRAL ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3739,06/26/2017,$896000.00,Residential,Old Style,1677,7737,28,1.75,,3 Bedrooms,2,0
2017,$390800,$332900,$723700,$390800,$332900,$723700,262 CENTRAL ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3739,06/26/2017,$896000.00,Residential,Old Style,1677,7737,28,1.75,,3 Bedrooms,2,0
2016,$359400,$332900,$692300,$359400,$332900,$692300,262 CENTRAL ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3739,06/26/2017,$896000.00,Residential,Old Style,1677,7737,28,1.75,,3 Bedrooms,2,0
2018,$339500,$382100,$721600,$339500,$382100,$721600,234 CENTRAL ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3742,09/20/2017,$760000.00,Residential,Old Style,1957,13485,28,2 Stories,,3 Bedrooms,2,0
2017,$347900,$363900,$711800,$347900,$363900,$711800,234 CENTRAL ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3742,09/20/2017,$760000.00,Residential,Old Style,1957,13485,28,2 Stories,,3 Bedrooms,2,0
2016,$322100,$363900,$686000,$322100,$363900,$686000,234 CENTRAL ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3742,09/20/2017,$760000.00,Residential,Old Style,1957,13485,28,2 Stories,,3 Bedrooms,2,0
2018,$164500,$348400,$512900,$164500,$348400,$512900,176 CENTRAL ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3749,09/29/2016,$545000.00,Residential,Colonial,1029,7474,28,2 Stories,,2 Bedrooms,1,1
2017,$149700,$331800,$481500,$149700,$331800,$481500,176 CENTRAL ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3749,09/29/2016,$545000.00,Residential,Colonial,1029,7474,28,2 Stories,,2 Bedrooms,1,1
2016,$129400,$331800,$461200,$129400,$331800,$461200,176 CENTRAL ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3749,09/29/2016,$545000.00,Residential,Colonial,1029,7474,28,2 Stories,,2 Bedrooms,1,1
2018,$380700,$343300,$724000,$380700,$343300,$724000,44 CENTRAL ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3764,05/01/2017,$852500.00,Residential,Old Style,1703,6360,28,2 Stories,7,3 Bedrooms,2,1
2017,$439900,$326900,$766800,$439900,$326900,$766800,44 CENTRAL ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3764,05/01/2017,$852500.00,Residential,Old Style,1703,6360,28,2 Stories,7,3 Bedrooms,2,1
2016,$384900,$326900,$711800,$384900,$326900,$711800,44 CENTRAL ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3764,05/01/2017,$852500.00,Residential,Old Style,1703,6360,28,2 Stories,7,3 Bedrooms,2,1
2018,$248200,$341500,$589700,$248200,$341500,$589700,18 CENTRAL ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3766,11/10/2016,$660000.00,Residential,Old Style,1511,5983,28,2 Stories,7 Rooms,3 Bedrooms,1,1
2017,$251300,$325300,$576600,$251300,$325300,$576600,18 CENTRAL ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3766,11/10/2016,$660000.00,Residential,Old Style,1511,5983,28,2 Stories,7 Rooms,3 Bedrooms,1,1
2016,$222800,$325300,$548100,$222800,$325300,$548100,18 CENTRAL ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3766,11/10/2016,$660000.00,Residential,Old Style,1511,5983,28,2 Stories,7 Rooms,3 Bedrooms,1,1
2018,$248200,$341500,$589700,$248200,$341500,$589700,18 CENTRAL ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3766,05/17/2011,$483000.00,Residential,Old Style,1511,5983,28,2 Stories,7 Rooms,3 Bedrooms,1,1
2017,$251300,$325300,$576600,$251300,$325300,$576600,18 CENTRAL ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3766,05/17/2011,$483000.00,Residential,Old Style,1511,5983,28,2 Stories,7 Rooms,3 Bedrooms,1,1
2016,$222800,$325300,$548100,$222800,$325300,$548100,18 CENTRAL ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3766,05/17/2011,$483000.00,Residential,Old Style,1511,5983,28,2 Stories,7 Rooms,3 Bedrooms,1,1
2018,$223200,$290400,$513600,$223200,$290400,$513600,1425 MAIN ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3787,01/02/2015,$434000.00,Residential,Old Style,1458,10479,30,2 Stories,5,3 Bedrooms,1,1
2017,$227100,$269600,$496700,$227100,$269600,$496700,1425 MAIN ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3787,01/02/2015,$434000.00,Residential,Old Style,1458,10479,30,2 Stories,5,3 Bedrooms,1,1
2016,$195700,$269600,$465300,$195700,$269600,$465300,1425 MAIN ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3787,01/02/2015,$434000.00,Residential,Old Style,1458,10479,30,2 Stories,5,3 Bedrooms,1,1
2018,$343300,$287900,$631200,$343300,$287900,$631200,167 PRAIRIE ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3800,03/15/2011,$617000.00,Residential,Colonial,1988,10000,30,2 Stories,8,3 Bedrooms,2,1
2017,$360500,$267400,$627900,$360500,$267400,$627900,167 PRAIRIE ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3800,03/15/2011,$617000.00,Residential,Colonial,1988,10000,30,2 Stories,8,3 Bedrooms,2,1
2016,$354200,$267400,$621600,$354200,$267400,$621600,167 PRAIRIE ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3800,03/15/2011,$617000.00,Residential,Colonial,1988,10000,30,2 Stories,8,3 Bedrooms,2,1
2018,$273600,$388200,$661800,$273600,$388200,$661800,156 UPLAND RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3815,06/13/2014,$618750.00,Residential,Ranch,1484,38295,30,1 Story,,3 Bedrooms,2,1
2017,$242900,$360500,$603400,$242900,$360500,$603400,156 UPLAND RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3815,06/13/2014,$618750.00,Residential,Ranch,1484,38295,30,1 Story,,3 Bedrooms,2,1
2016,$213200,$360500,$573700,$213200,$360500,$573700,156 UPLAND RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3815,06/13/2014,$618750.00,Residential,Ranch,1484,38295,30,1 Story,,3 Bedrooms,2,1
2018,$203700,$377500,$581200,$203700,$377500,$581200,94 UPLAND RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3821,07/29/2016,$605000.00,Residential,Cape Cod,1626,30019,30,1 1/2 Stories,6 Rooms,2 Bedrooms,1,0
2017,$203000,$350600,$553600,$203000,$350600,$553600,94 UPLAND RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3821,07/29/2016,$605000.00,Residential,Cape Cod,1626,30019,30,1 1/2 Stories,6 Rooms,2 Bedrooms,1,0
2016,$165000,$350600,$515600,$165000,$350600,$515600,94 UPLAND RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3821,07/29/2016,$605000.00,Residential,Cape Cod,1626,30019,30,1 1/2 Stories,6 Rooms,2 Bedrooms,1,0
2018,$134200,$387200,$521400,$134200,$387200,$521400,65 WOODLAND RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3859,06/19/2016,$477000.00,Residential,Ranch,1444,14288,28,1 Story,,3 Bedrooms,2,0
2017,$169400,$368800,$538200,$169400,$368800,$538200,65 WOODLAND RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3859,06/19/2016,$477000.00,Residential,Ranch,1444,14288,28,1 Story,,3 Bedrooms,2,0
2016,$143200,$368800,$512000,$143200,$368800,$512000,65 WOODLAND RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3859,06/19/2016,$477000.00,Residential,Ranch,1444,14288,28,1 Story,,3 Bedrooms,2,0
2018,$243900,$346400,$590300,$243900,$346400,$590300,259 OLD MARLBORO RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3871,05/05/2017,$730000.00,Residential,Old Style,1464,7056,28,2 Stories,7,3 Bedrooms,1,1
2017,$247500,$330000,$577500,$247500,$330000,$577500,259 OLD MARLBORO RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3871,05/05/2017,$730000.00,Residential,Old Style,1464,7056,28,2 Stories,7,3 Bedrooms,1,1
2016,$218600,$330000,$548600,$218600,$330000,$548600,259 OLD MARLBORO RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3871,05/05/2017,$730000.00,Residential,Old Style,1464,7056,28,2 Stories,7,3 Bedrooms,1,1
2018,$313200,$417900,$731100,$313200,$417900,$731100,21 WOODLAND RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3873,11/25/2013,$575000.00,Residential,Colonial,1997,19100,28,2 Stories,7,3 Bedrooms,2,0
2017,$241000,$397900,$638900,$241000,$397900,$638900,21 WOODLAND RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3873,11/25/2013,$575000.00,Residential,Colonial,1997,19100,28,2 Stories,7,3 Bedrooms,2,0
2016,$230700,$397900,$628600,$230700,$397900,$628600,21 WOODLAND RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3873,11/25/2013,$575000.00,Residential,Colonial,1997,19100,28,2 Stories,7,3 Bedrooms,2,0
2018,$325300,$245900,$571200,$325300,$245900,$571200,15 EMERSON RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3890,09/26/2013,$502500.00,Residential,Colonial,1904,17841,30,2 Stories,6,3 Bedrooms,2,1
2017,$325300,$228300,$553600,$325300,$228300,$553600,15 EMERSON RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3890,09/26/2013,$502500.00,Residential,Colonial,1904,17841,30,2 Stories,6,3 Bedrooms,2,1
2016,$317900,$228300,$546200,$317900,$228300,$546200,15 EMERSON RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3890,09/26/2013,$502500.00,Residential,Colonial,1904,17841,30,2 Stories,6,3 Bedrooms,2,1
2018,$198700,$373800,$572500,$198700,$373800,$572500,126 OLD MARLBORO RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3898,11/07/2014,$575000.00,Residential,Colonial,1470,12178,28,2 Stories,,2 Bedrooms,1,1
2017,$198700,$356000,$554700,$198700,$356000,$554700,126 OLD MARLBORO RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3898,11/07/2014,$575000.00,Residential,Colonial,1470,12178,28,2 Stories,,2 Bedrooms,1,1
2016,$183700,$356000,$539700,$183700,$356000,$539700,126 OLD MARLBORO RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3898,11/07/2014,$575000.00,Residential,Colonial,1470,12178,28,2 Stories,,2 Bedrooms,1,1
2018,$181800,$409800,$591600,$181800,$409800,$591600,33 ORCHARD RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3904,08/14/2015,$535000.00,Residential,Cape Cod,1118,17841,28,1 Story,,2 Bedrooms,1,0
2017,$193700,$390300,$584000,$193700,$390300,$584000,33 ORCHARD RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3904,08/14/2015,$535000.00,Residential,Cape Cod,1118,17841,28,1 Story,,2 Bedrooms,1,0
2016,$170600,$390300,$560900,$170600,$390300,$560900,33 ORCHARD RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3904,08/14/2015,$535000.00,Residential,Cape Cod,1118,17841,28,1 Story,,2 Bedrooms,1,0
2018,$183400,$427900,$611300,$183400,$427900,$611300,70 ORCHARD RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3911,12/13/2012,$500000.00,Residential,Ranch,1100,20890,28,1 Story,7 Rooms,2 Bedrooms,2,0
2017,$162400,$407500,$569900,$162400,$407500,$569900,70 ORCHARD RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3911,12/13/2012,$500000.00,Residential,Ranch,1100,20890,28,1 Story,7 Rooms,2 Bedrooms,2,0
2016,$134700,$407500,$542200,$134700,$407500,$542200,70 ORCHARD RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3911,12/13/2012,$500000.00,Residential,Ranch,1100,20890,28,1 Story,7 Rooms,2 Bedrooms,2,0
2018,$205900,$379300,$585200,$205900,$379300,$585200,56 MACARTHUR RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3951,01/26/2016,$565000.00,Residential,Ranch,1244,13049,28,1 Story,6,3 Bedrooms,2,1
2017,$182700,$361300,$544000,$182700,$361300,$544000,56 MACARTHUR RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3951,01/26/2016,$565000.00,Residential,Ranch,1244,13049,28,1 Story,6,3 Bedrooms,2,1
2016,$154700,$361300,$516000,$154700,$361300,$516000,56 MACARTHUR RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3951,01/26/2016,$565000.00,Residential,Ranch,1244,13049,28,1 Story,6,3 Bedrooms,2,1
2018,$303300,$418200,$721500,$303300,$418200,$721500,304 OLD MARLBORO RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3977,09/29/2017,$575000.00,Residential,Rsd Rnch/Splt Lvl,1616,19148,28,1 Story,9,4 Bedrooms,2,1
2017,$292800,$398200,$691000,$292800,$398200,$691000,304 OLD MARLBORO RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3977,09/29/2017,$575000.00,Residential,Rsd Rnch/Splt Lvl,1616,19148,28,1 Story,9,4 Bedrooms,2,1
2016,$315900,$398200,$714100,$315900,$398200,$714100,304 OLD MARLBORO RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3977,09/29/2017,$575000.00,Residential,Rsd Rnch/Splt Lvl,1616,19148,28,1 Story,9,4 Bedrooms,2,1
2018,$316700,$351600,$668300,$316700,$351600,$668300,33 CREST ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3983,04/04/2016,$685000.00,Residential,Old Style,1923,8179,28,2 Stories,9,5 Bedrooms,2,0
2017,$324200,$334900,$659100,$324200,$334900,$659100,33 CREST ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3983,04/04/2016,$685000.00,Residential,Old Style,1923,8179,28,2 Stories,9,5 Bedrooms,2,0
2016,$294600,$334900,$629500,$294600,$334900,$629500,33 CREST ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3983,04/04/2016,$685000.00,Residential,Old Style,1923,8179,28,2 Stories,9,5 Bedrooms,2,0
2018,$246800,$354400,$601200,$246800,$354400,$601200,68 CREST ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=4005,03/05/2013,$484900.00,Residential,Old Style,1387,8800,28,1.75,7,3 Bedrooms,1,1
2017,$250900,$337600,$588500,$250900,$337600,$588500,68 CREST ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=4005,03/05/2013,$484900.00,Residential,Old Style,1387,8800,28,1.75,7,3 Bedrooms,1,1
2016,$221600,$337600,$559200,$221600,$337600,$559200,68 CREST ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=4005,03/05/2013,$484900.00,Residential,Old Style,1387,8800,28,1.75,7,3 Bedrooms,1,1
2018,$446100,$364400,$810500,$446100,$364400,$810500,47 OLD RD TO 9 ACRE COR,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=4052,09/03/2015,$865000.00,Residential,Colonial,1974,34681,30,2 Stories,7,3 Bedrooms,1,1
2017,$446100,$338300,$784400,$446100,$338300,$784400,47 OLD RD TO 9 ACRE COR,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=4052,09/03/2015,$865000.00,Residential,Colonial,1974,34681,30,2 Stories,7,3 Bedrooms,1,1
