YEAR,APPRAISED IMPROVEMENTS,APPRAISED LAND,APPRAISED TOTAL,ASSESSED IMPROVEMENTS,ASSESSED LAND, ASSESSED TOTAL,ADDRESS,URL,SALE DATE,SALE PRICE,MODEL,STYLE,LIVING AREA,LAND AREA(SF),NBHD,STORIES,ROOMS,BEDROOMS,BATHS,HALF BATHS
2016,$177500,$263100,$440600,$177500,$263100,$440600,754 MAIN ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=2633,10/28/2014,$499000.00,Residential,Cape Cod,1313,8750,30,1 3/4 Stories,6,3 Bedrooms,1,2
2018,$387500,$596600,$984100,$387500,$596600,$984100,241 ELM ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=2715,04/08/2016,$979000.00,Residential,Old Style,1926,23787,24,1 3/4 Stories,9,4 Bedrooms,2,1
2017,$398000,$547100,$945100,$398000,$547100,$945100,241 ELM ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=2715,04/08/2016,$979000.00,Residential,Old Style,1926,23787,24,1 3/4 Stories,9,4 Bedrooms,2,1
2016,$369100,$547100,$916200,$369100,$547100,$916200,241 ELM ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=2715,04/08/2016,$979000.00,Residential,Old Style,1926,23787,24,1 3/4 Stories,9,4 Bedrooms,2,1
2018,$284100,$344000,$628100,$284100,$344000,$628100,73 GRANT ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=2758,08/18/2014,$652500.00,Residential,Old Style,1600,6512,28,2 Stories,,3 Bedrooms,1,1
2017,$290400,$327600,$618000,$290400,$327600,$618000,73 GRANT ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=2758,08/18/2014,$652500.00,Residential,Old Style,1600,6512,28,2 Stories,,3 Bedrooms,1,1
2016,$260400,$327600,$588000,$260400,$327600,$588000,73 GRANT ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=2758,08/18/2014,$652500.00,Residential,Old Style,1600,6512,28,2 Stories,,3 Bedrooms,1,1
2018,$236400,$341400,$577800,$236400,$341400,$577800,127 BELKNAP ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=2768,06/30/2017,$677000.00,Residential,Old Style,1120,5960,28,2 Stories,5,3 Bedrooms,1,1
2017,$238800,$325200,$564000,$238800,$325200,$564000,127 BELKNAP ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=2768,06/30/2017,$677000.00,Residential,Old Style,1120,5960,28,2 Stories,5,3 Bedrooms,1,1
2016,$201200,$325200,$526400,$201200,$325200,$526400,127 BELKNAP ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=2768,06/30/2017,$677000.00,Residential,Old Style,1120,5960,28,2 Stories,5,3 Bedrooms,1,1
